Signal,Measured Angle (deg),Actual Angle' (deg),Actual Angle (deg)
271,-1,0,0
268,-1,0,0
254,-4,0,0
255,-4,,
0,,,
263,-3,0,0
264,-4,0,0
252,-4,0,0
264,-1,0,0
280,0,0,0
285,1,0,0
279,2,0,0
267,0,0,0
262,-1,0,0
264,-2,0,0
264,-3,0,0
257,-4,0,0
256,-2,0,0
280,0,0,0
275,0,0,0
271,0,0,0
268,0,0,0
264,-2,0,0
263,-2,0,0
255,,,
3,0,,
278,-1,0,0
274,-1,0,0
280,0,0,0
279,1,0,0
269,0,0,0
264,-2,0,0
273,-1,0,0
274,-1,0,0
266,-1,0,0
264,-2,0,0
256,-3,0,0
262,-2,0,0
289,1,0,0
273,0,0,0
277,0,0,0
270,-1,0,0
269,-1,0,0
272,0,0,0
263,-2,0,0
254,,,
,-4,0,0
246,-5,0,0
255,-6,0,0
259,-5,0,0
271,-2,0,0
259,-3,0,0
257,-5,0,0
262,-2,0,0
272,0,0,0
279,1,0,0
288,2,0,0
287,3,0,0
285,2,0,0
287,3,0,0
286,3,0,0
290,3,0,0
288,3,0,0
290,4,0,0
282,4,0,0
287,3,0,0
281,,,
2,0,,
277,1,0,0
273,1,0,0
280,0,0,0
282,0,0,0
280,1,0,0
279,2,0,0
281,2,0,0
289,3,0,0
290,5,0,0
296,6,0,0
297,7,0,0
308,9,-1,1
299,7,-1,1
296,6,-2,2
306,12,-3,3
301,10,-4,4
309,11,-5,5
309,16,-6,6
332,17,-7,7
31,,,
6,20,-8,8
333,19,-8,8
314,18,-8,8
336,19,-10,10
323,17,-12,12
339,18,-14,14
319,16,-15,15
346,20,-16,16
345,22,-17,17
351,23,-18,18
338,22,-18,18
344,27,-19,19
358,27,-19,19
364,29,-20,20
351,27,-21,21
357,27,-21,21
,,,
2,,,
351,27,-22,22
380,31,-22,22
371,31,-22,22
362,29,-23,23
370,30,-24,24
370,31,-24,24
387,34,-24,24
365,32,-25,25
383,34,-25,25
359,32,-26,26
397,37,-27,27
368,38,-27,27
407,40,-28,28
375,37,-28,28
397,40,-29,29
413,43,-30,30
395,,,
,41,-30,30
422,44,-31,31
407,45,-31,31
388,42,-31,31
395,41,-31,31
394,40,-32,32
389,39,-33,33
401,40,-33,33
397,40,-33,33
397,39,-33,33
394,38,-33,33
392,38,-33,33
388,39,-33,33
390,39,-33,33
388,38,-33,33
393,38,-33,33
395,38,,
-33,,,
407,41,-33,33
400,42,-33,33
402,43,-33,33
400,43,-33,33
411,44,-33,33
417,46,-33,33
415,47,-33,33
416,47,-33,33
428,48,-33,33
414,47,-33,33
410,46,-34,34
426,48,-34,34
396,44,-35,35
420,46,-36,36
406,45,-36,36
420,46,-37,37
4,,,
19,46,-39,39
411,46,-39,39
402,49,-39,39
443,52,-40,40
409,53,-40,40
440,54,-41,41
423,51,-42,42
455,56,-42,42
428,54,-43,43
425,53,-45,45
415,50,-46,46
443,53,-46,46
434,53,-48,48
424,50,-48,48
445,55,-49,49
447,56,-49,49
452,58,,
,-49,,
460,60,-49,49
422,54,-50,50
450,56,-50,50
433,60,-50,50
442,59,-50,50
417,57,-50,50
440,57,-50,50
426,54,-50,50
452,58,-50,50
426,55,-50,50
452,57,-50,50
426,54,-50,50
438,55,-50,50
418,51,-50,50
434,57,-50,50
409,51,-50,50
411,,,
,51,-38,38
408,48,-37,37
417,47,-37,37
370,45,-36,36
396,42,-36,36
373,38,-36,36
394,39,-36,36
402,40,-35,35
380,37,-34,34
385,37,-34,34
395,39,-33,33
373,36,-32,32
350,35,-32,32
355,32,-32,32
373,33,-31,31
350,29,-30,30
368,30,,
30,,,
360,33,-29,29
353,29,-28,28
366,30,-27,27
337,25,-27,27
361,28,-26,26
341,24,-25,25
358,25,-24,24
348,25,-24,24
326,22,-22,22
342,22,-21,21
344,23,-21,21
329,25,-21,21
335,22,-20,20
313,18,-19,19
321,17,-19,19
322,15,-18,18
31,,,
3,14,-18,18
334,17,-17,17
316,15,-16,16
312,13,-15,15
308,11,-15,15
324,14,-14,14
325,16,-14,14
292,12,-13,13
310,11,-13,13
304,9,-12,12
315,10,-12,12
317,12,-11,11
291,8,-10,10
307,9,-10,10
314,10,-10,10
285,7,-9,9
303,9,-9,9
